group,name,description,specification,version,internal_set,internal,product_plan_rule,error_level,error
MisciAP2, Measured55Or5ABaudRateOutOfRange8PiniAP2, Fire an error if the accessory sends a packet with a 0x55 or 0x5A baud rate outside of 57600 +/-2%., CurrentAISpecFileReference, 3.0, YES, NO, NO, Error, accessory baud rate of %u bps (as measured by the 0x55 or 0x5A byte) is outside of the acceptable range (57600 bps +/- 2 percent)
MisciAP2, StartFileTransferMessageSeenWithoutFileTransferDatagramCAiAP2, Throw an error if the accessory sends start File Transfer Messages without sending any File Transfer Datagram during the CA, CurrentAISpecFileReference, 5.0, NO, NO, NO, Error, accessory sent an iAP message to initiate a file transfer_ but no file transfer datagrams were seen during the Certification Assistant test
USBHostMode, DeprecatedRoleSwitchSeen, Fire a warning if the accessory uses the deprecated role swap (0x50) command., CurrentAISpecFileReference, 4.0, NO, NO, NO, Warning, accessory used deprecated USB role switch
USBHostMode, DigitalAudioLingoInUSBHostMode30Pin, This rule throws an error if the accessory trys to use the Digital Audio lingo while the Apple device is in USB Host Mode. (see p.57 of HWSpec_R6_101029), CurrentMFiFirmwareSpecFileReference (4.10), 2.0, NO, NO, NO, Error, accessory cannot use the Digital Audio lingo in USB Host Mode
USBHostMode, NoNotifyUSBModeDevACKWithin500ms, This rule throws an error if the accessory does not respond to NotifyUSBMode with a DevACK within 500 ms. Note: This rule has a 2 ms tolerance built in due to rdar://problem/6827868, CurrentMFiFirmwareSpecFileReference (4.6.3), 1.4, NO, NO, NO, Error, accessory did not respond within 500 ms to NotifyUSBMode
USBHostMode, USBAudioAccCapWhenNotInUSBDeviceMode30Pin, This rule throws an error if the accessory trys to set the USB audio AccCap bit (0x04) when the Apple device is not in USB Device Mode. (Accessories with a USB Audio Class Interface [that work with an iOS device in USB Host Mode] do not need to set this bit), CurrentMFiFirmwareSpecFileReference (Table 3-71), 2.0, NO, NO, NO, Error, USB audio bit was set in AccessoryCapsToken when Apple device is not in USB Device Mode
USBHostMode, USBHostModeInterruptInEndpointOptional, The Interrupt In endpoint is not used and has been removed from the spec as per rdar://problem/14564578 Update USB Host Mode requirements to make the interrupt IN endpoint optional This rule will warn developers of the change, CurrentAISpecFileReference, 3.4, NO, NO, NO, Warning, interrupt IN endpoint is deprecated for the USB Host Mode iAP Interface
HardwareCommon, AccTxVoltageLogicHighTooHigh30Pin, This rule throws an error if the accessory's Tx-to-iPod (pin 18) logic-high voltage is above 3.465 V., CurrentMFiHardwareSpecFileReference (pg. 51), 1.0, NO, NO, NO, Error, accessory Tx-to-iPod (pin 18) is (%1$.2lf V)_ higher than the maximum allowed logic high voltage of 3.465 V.
HardwareCommon, AccessoryInvalidConnectionLightningTo30PinAdapter8Pin, Throw an error if connect a Lightning to 30-pin Adapter to the accessory side of the ATS Lightning Box., N/A, 3.2, NO, NO, NO, Error, %1$@ was connected to the accessory side of the ATS Lightning Box
HardwareCommon, AccessoryInvalidConnectionOrientation8Pin, Throw an error if the accessory is connected in the wrong orientation, N/A, 3.0, NO, NO, NO, Error, accessory was attached in the incorrect orientation
HardwareCommon, Baud55Not19200Or5760030Pin, This rule throws an error if the accessory sends a packet with a 0x55 baud rate outside of 19200 or 57600 +/-2%., CurrentMFiHardwareSpecFileReference (pg. 52), 1.0, NO, NO, NO, Error, accessory baud rate of %u bps (as measured by the 0x55 byte) is outside of the acceptable range (19200 or 57600 bps +/- 2 percent)
HardwareCommon, BaudFFNot19200Or5760030Pin, This rule throws an error if the accessory sends a packet with a 0xFF baud rate outside of 19200 +/- 2% or 57600 +/- 2%., CurrentMFiHardwareSpecFileReference (pg. 52), 1.0, NO, NO, NO, Error, accessory baud rate of %u bps (as measured by the 0xFF byte) is outside of the acceptable range (19200 or 57600 bps +/- 2 percent)
HardwareCommon, DeprecatedFireWirePowerPresent30Pin, This rule throws an error if the accessory applies non-zero FireWire voltage to pin 11 or pin 12.  (The actual test value  is about 0.5 V to allow for some measurement error.) Note: Need to update in Future to allow DisplayPort accessories to drive these pins. (stripped from 1.5), CurrentMFiHardwareSpecFileReference (pg. 19), 1.4, NO, NO, NO, Error, the accessory drives FireWire pins_ which is not allowed
HardwareCommon, DevicePowerVoltageTooLowExtended8Pin, Throw an error if voltage remains too low for 5 seconds. Timeout begins when voltage initially goes too low_ and cancels if voltage goes to an acceptable state, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory has been driving device power voltage too low for more than 5 seconds (measured as %1$.2lf V_ threshold is %2$.2lf V)
HardwareCommon, DevicePowerVoltageTooLowLoadTest8Pin, Throw an error if voltage goes too low from not being too low in the previous measurement (eg. doesn't re-throw for multiple too-low measurements), CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory is driving device power voltage too low (measured as %1$.2lf V_ threshold is %2$.2f V)
HardwareCommon, LightningModuleConfigurationDeprecated8Pin, Throw an error if the detected Lightning module configuration is deprecated., CurrentAISpecFileReference, 3.9, NO, NO, NO, Warning, accessory's embedded Lightning module configuration \_%1$@\_ is deprecated
HardwareCommon, MeasuredFFBaudRateOutOfRange8Pin, Fire an error if the accessory sends a packet with a 0xFF baud rate outside of 57600 +/-2%., CurrentAISpecFileReference, 3.0, YES, NO, NO, Error, accessory baud rate of %u bps (as measured by the 0xFF byte) is outside of the acceptable range (57600 bps +/- 2 percent)
HardwareCommon, ResistorsIncorrectForClaimedCurrentCA8Pin, Throw an error if accessory that does not speak iAP presents resistors that do not match those expected for the claimed current, N/A, 3.1, NO, NO, NO, Error, accessory is presenting the incorrect D+/D- values for the %1$@ claim selection
VideoOutAccessory, NoSetOrCheckiPodPreferencesVideoBeforeVideoOutEnabled, This rule throws a warning if an accessory turns on video out without first checking or setting video preferences. This is meant to catch accessories that don't even bother checking the video settings (which might have sensible defaults) before turning video on. Notes: Updated with IDPS support, CurrentMFiFirmwareSpecFileReference (3.3.34), 1.3, NO, NO, NO, Warning, accessory attempted to turn on video out without setting or checking required video preferences first
VideoOutAccessory, VideoOutRequiredCommandsNotSeenCA, Fire an error during the Video Out test if a required Video Out command was not seen, N/A, 3.0, NO, NO, NO, Error, the required commands for the Video Out test were not seen
USBHIDReport, AccessoryHIDReportNotDevACKed, This rule throws an error if the accessory fails to send DevACK in response to AccessoryHIDReport within 500 ms., CurrentMFiFirmwareSpecFileReference (4.2.17), 2.0, NO, NO, NO, Error, accessory failed to respond to AccessoryHIDReport with an AccessoryAck within 500 ms
USBHIDReport, ClosedDescriptorInUnregisterDescriptor, This rule throws an error if the accessory sends UnregisterDescriptor with a descriptor index that has already been unregistered., CurrentMFiFirmwareSpecFileReference (4.2.18), 2.0, NO, NO, NO, Error, accessory sent UnregisterDescriptor with a descriptor index that has already been unregistered
USBHIDReport, IPodHIDReportBeforeRegisterDescriptorACKed, This rule throws an error if the accessory sends iPodHIDReport before RegisterDescriptor is successfully ACKed by the iPod., CurrentMFiFirmwareSpecFileReference (4.2.15), 2.0, NO, NO, NO, Error, accessory sent iPodHIDReport before receiving an iPodAck for RegisterDescriptor with descriptor index %1$u
USBHIDReport, RegisterDescriptorHasAppleVID, Throw an error if an accessory sends RegisterDescriptor with an Apple VID., CurrentMFiFirmwareSpecFileReference (4.2.15), 2.0, YES, NO, NO, Error, VID %1$hu (0x%1$04X) is reserved for Apple accessories
USBHIDReport, UnknownDescriptorInUnregisterDescriptor, This rule throws an error if the accessory sends UnregisterDescriptor with a descriptor index that does not match a descriptor index sent in RegisterDescriptor., CurrentMFiFirmwareSpecFileReference (4.2.18), 2.0, NO, NO, NO, Error, accessory sent UnregisterDescriptor with an unknown descriptor index
USBHIDReport, UnknownDescriptorIniPodHIDReport, This rule throws an error if the accessory sends iPodHIDReport with a descriptor index that does not match a descriptor index sent in RegisterDescriptor., CurrentMFiFirmwareSpecFileReference (4.2.15), 2.0, NO, NO, NO, Error, accessory sent iPodHIDReport with an unregistered descriptor index
AuthenticationiAP2, AccessoryAuthenticationCertificateSerialUnparsableiAP2, This rule fires an error when the cert serial number value in the certificate is unparsable_ which indirectly means that the certificate is also unparsable., CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory sent unparsable certificate information
AuthenticationiAP2, AuthenticationCertificateTimeoutiAP2, Fire an error if AuthenticationCertificate is not seen within 1 second of receiving RequestAuthenticationCertificate, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory did not send AuthenticationCertificate within 1 second of receiving RequestAuthenticationCertificate
AuthenticationiAP2, AuthenticationRequiredMessagesNotSeenCAiAP2, Throw an error if the accessory fails to send mandatory messages during the authentication test, N/A, 3.1, NO, NO, NO, Error, did not see %1$@ during the Automatic Tests with Apple device
AuthenticationiAP2, AuthenticationResponseTimeoutiAP2, Fire an error if AuthenticationResponse is not seen within 2 seconds of receiving RequestAuthenticationChallengeResponse, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory did not send AuthenticationResponse within 2 seconds of receiving RequestAuthenticationChallengeResponse
MediaLibraryiAP2, MediaLibraryInformationMessagesNotSeenCAiAP2, Throw an error if required messages are not seen during the Media Library test, N/A, 3.1, NO, NO, NO, Error, did not see %1$@ while testing the %2$@ feature
MediaLibraryiAP2, MediaLibraryPlaybackOptionalMessagesNotSeenCAiAP2, Throw an error if optional but supported messages are not seen during the Media Library test, N/A, 3.1, NO, NO, NO, Error, did not see supported message%2$@ %1$@ while testing the %3$@ feature
MediaLibraryiAP2, MediaLibraryPlaybackUsedWithoutMediaLibraryUpdatesCAiAP2, Throw an error if media library playback is used when media library updates have not been This rule uses the test ending as a point to check for usage. It doesn't specifically infer that Media Library Playback were used by the test being run, N/A, 3.1, NO, NO, NO, Error, accessory used Media Library Playback without using Media Library Updates while testing the %1$@ feature
MediaLibraryiAP2, MediaLibraryPlaybackWithoutMediaLibraryUpdatesInDeclarationiAP2, Fire an error during identification if the message list includes Media Library Playback-related messages without including Media Library Updates messages, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory declared support for MediaLibraryPlayback messages without declaring support for MediaLibraryUpdates message%1$@: %2$@
MediaLibraryiAP2, MediaLibraryUpdatesMessagesNotSeenCAiAP2, Throw an error if required messages are not seen during the Media Library test, N/A, 3.1, NO, NO, NO, Error, did not see %1$@ while testing the %2$@ feature
MediaLibraryiAP2, MediaLibraryUpdatesUsedWithoutMediaLibraryInformationCAiAP2, Throw an error if media library updates are used when media library information has not been This rule uses the test ending as a point to check for usage. It doesn't specifically infer that Media Library Updates were used by the test being run, N/A, 3.1, NO, NO, NO, Error, accessory used Media Library Updates without using Media Library Information while testing the %1$@ feature
MediaLibraryiAP2, MediaLibraryUpdatesWithoutMediaLibraryInformationInDeclarationiAP2, Fire an error during identification if the message list includes Media Library Updates-related messages without including Media Library Information messages, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory declared support for MediaLibraryUpdates messages without declaring support for MediaLibraryInformation messages
MediaLibraryiAP2, StartMediaLibraryUpdatesWithoutCorrectLastKnownRevisioniAP2, Fire an error if a StartMediaLibraryUpdates is seen without a recent MediaLibraryRevision, CurrentAISpecFileReference, 3.2, NO, NO, NO, Warning, accessory's last known media library revision is not from a recent update
MediaLibraryiAP2, StartSecondMediaLibraryUpdatesWithoutLastKnownRevisioniAP2, Fire an error if a second StartMediaLibraryUpdates is seen without a LastKnownMediaLibraryRevision parameter, CurrentAISpecFileReference, 5.9, NO, NO, NO, Warning, accessory requested a full database update more than once in a single iAP2 session
AccessoryIdentifyResistor, CommandsFromDeviceWithResistor360k30Pin, This rule throws an error if an an accessory that claims an ID resistor of 360k sends any iAP commands., CurrentMFiHardwareSpecFileReference (pg. 115), 1.0.1, NO, NO, NO, Error, accessories that claim a 360 kΩ ID resistor may not send iAP commands
AccessoryIdentifyResistor, NoTimelyiAPButiAPResistorPresented30Pin, This rule throws an error if the accessory uses an ID resistor claming iAP without identifying within 2 seconds, CurrentMFiHardwareSpecFileReference (pg. 37), 2.2, NO, NO, NO, Error, accessory did not identify within 2 seconds of indicating support for iAP by presenting a %1$@ ID resistor
AccessoryIdentifyResistor, ResistorIDNotValid30Pin, This rule generically checks for resistor values that are within +/- 2% of one of the valid ID resistor values.   This rule should NOT run while the CA is running_ as claim validation rules will take priority., CurrentMFiHardwareSpecFileReference (pg. 37), 2.0, NO, NO, NO, Error, %@ is not a valid resistor ID
AccessoryIdentifyResistor, ResistorPresentButNot191k30Pin, This rule throws an error if an ID resistor outside of 191kΩ (+/-2%) is seen_ but this value is claimed., CurrentMFiHardwareSpecFileReference (pg. 37), 1.0, NO, NO, YES, Error, accessory presented a %@ ID resistor_ but the accessory's claims indicate a 191 kΩ ID resistor
AccessoryIdentifyResistor, ResistorPresentButNot255kOrNone30Pin, This rule throws an error if an ID resistor outside of 255k (+/-2%) is seen_ but this value is claimed. In 2.2_ this rule was modified to also allow no ID resistor_ because the claims will only tell us that the accessory supplies USB power and uses no iAP transport.  These accessories are allowed to have either 255k or none. See radar 10176734 Update 255kΩ Rules to Allow No Resistor radar 10230898 No way to claim 255 kΩ resistor in test mode, CurrentMFiHardwareSpecFileReference (pg. 37), 2.2, NO, NO, YES, Error, accessory presented a %@ ID resistor_ but the accessory's claims indicate it should have either a 255 kΩ ID resistor or no ID resistor
AccessoryIdentifyResistor, ResistorPresentButNot28k30Pin, This rule throws an error if an ID resistor outside of 28kΩ (+/-2%) is seen_ but this value is claimed., CurrentMFiHardwareSpecFileReference (pg. 37), 1.4, NO, NO, YES, Error, accessory presented a %@ ID resistor_ but the accessory's claims indicate a 28 kΩ ID resistor
AccessoryIdentifyResistor, ResistorPresentButNot549k30Pin, This rule throws an error if an ID resistor outside of 549k (+/-2%) is seen_ but this value is claimed., CurrentMFiHardwareSpecFileReference (pg. 37), 1.0, NO, NO, YES, Error, accessory presented a %@ ID resistor_ but the accessory's claims indicate a 549 kΩ ID resistor
USBDeviceModeAudioiAP2, USBDeviceModeAudioMessagesNotSeenCAiAP2, Throw an error if the accessory fails to send mandatory messages during the USB Device Mode Audio test, N/A, 3.1, NO, NO, NO, Error, did not see %1$@ while testing the %2$@ feature
AppLaunchiAP2, AppLaunchRequiredMessagesNotSeenCAiAP2, Fire an error if any of the mandatory messages are not seen during the test, N/A, 3.1, NO, NO, NO, Error, did not see required messages while testing the %1$@ feature
GymEquipment, NoGetiPodCapsForGymEquipment, This rule throws an error if Sports Lingo GetiPodCaps is not sent before sending OpeniPodFeatureFile for a workout from  Storage Lingo_ or GetUserIndex_ GetUserData_ or SetUserData from Sports Lingo., CurrentMFiFirmwareSpecFileReference (B.1.5.1), 1.1, NO, NO, NO, Error, accessory failed to send Sports lingo GetiPodCaps before sending OpeniPodFeatureFile for a workout from Storage lingo_ or GetUserIndex_ GetUserData_ or SetUserData from Sports lingo
GymEquipment, NoRetAccessoryCapsForGymEquipment, This rule throws an error if the accessory does not send a RetAccessoryCaps with bit 9 in its capsMask set in response to a  GetAccessoryCaps request., CurrentMFiFirmwareSpecFileReference (4.9.7), 1.1, NO, NO, NO, Error, Sports lingo accessory sending RetAccessoryCaps without bit 9 in capsMask turned on
GymEquipment, NoRetiPodCapsForGymEquipment, This rule throws an error if Sports Lingo RetiPodCaps is not received before sending OpeniPodFeatureFile for a workout from  Storage Lingo_ or GetUserIndex_ GetUserData_ or SetUserData from Sports Lingo., CurrentMFiFirmwareSpecFileReference (B.1.5.1), 1.1, NO, NO, NO, Error, accessory failed to receive Sports lingo RetiPodCaps before sending OpeniPodFeatureFile for a workout from Storage Lingo_ or GetUserIndex_ GetUserData_ or SetUserData from Sports lingo
GymEquipment, SportsLingoRequiredCommandsNotSeenCA, Fire an error during the Sports Lingo test if a Sports lingo command was not seen, N/A, 3.0, NO, NO, NO, Error, the required commands were not seen during the Sports Lingo test
GymEquipment, UserDataCommandSentButUserDataNotSupported, This rule throws an error if the accessory sends GetUserIndex_ GetUserData_ or SetUserData from Sports Lingo_ but  the last RetiPodCaps did not advertise support for user data., CurrentMFiFirmwareSpecFileReference (4.9.9), 1.3, NO, NO, NO, Error, accessory sent a GetUserIndex_ GetUserData_ or SetUserData command_ but the iPod did not indicate support for user data in its last RetiPodCaps
GymEquipment, WorkoutFeatureDeprecated, This rule throws a warning if the accessory uses the workout feature, CurrentMFiFirmwareSpecFileReference (1.16), 3.0, NO, NO, NO, Warning, workout feature is deprecated
BluetoothiAP2, BluetoothComponentInformationComponentIdentifierInvalidiAP2, Fire an error if the ComponentIdentifier parameter is unknown in BluetoothComponentInformation, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory sent BluetoothComponentInformation with an unknown ComponentIdentifier
BluetoothiAP2, BluetoothComponentInformationMissingComponentiAP2, Fire an error if component information isn't provided for all declared components Backing:  _The accessory must report status for every identified Bluetooth component and not just for the changed component_, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory did not report status of all identified Bluetooth transport components
BluetoothiAP2, BluetoothComponentInformationNoNewInformationiAP2, Fire an error if component information status update is identical to the previous status without any new information, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory reported Bluetooth transport component status with no status change
BluetoothiAP2, BluetoothRequiredMessagesNotSeenCAiAP2, Fire an error if any of the mandatory messages are not seen during the test, N/A, 3.1, NO, NO, NO, Error, did not see %1$@ while testing the %2$@ feature
BluetoothiAP2, NoBluetoothComponentAfterIdentificationiAP2, Fire an error if a bluetooth component isn't identified for 2 seconds after identification Backing: _The accessory must send an initial BluetoothComponentInformation message within 2 seconds of receiving an IdentifiationAccepted message._, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory did not immediately send BluetoothComponentInformation
BluetoothiAP2, NoBluetoothIdentificationCAiAP2, Fire an error if no Bluetooth components are identified during identification, N/A, 3.1, NO, NO, NO, Error, accessory did not declare any Bluetooth components while testing the %1$@ feature
BluetoothiAP2, StartBluetoothConnectionUpdatesBluetoothTransportComponentIdentifierInvalidiAP2, Fire an error if the BluetoothTransportComponentIdentifier parameter is unknown in StartBluetoothConnectionUpdates, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory sent StartBluetoothConnectionUpdates with an unknown BluetoothTransportComponentIdentifier
RFTuner, HDRadioCommandWithoutHDCapableBit, throw an error if the accessory sends RetHDProgramServiceCount without setting the HD capable bit in the previous RetTunerCaps command throw an error if the accessory sends RetHDProgramService without setting the HD capable bit in the previous RetTunerCaps command throw an error if the accessory sends RetHDDataReadStatus without setting the HD capable bit in the previous RetTunerCaps command throw an error if the accessory sends RetHDData without setting the HD capable bit in the previous RetTunerCaps command throw an error if the accessory sends RetHDDataNotifyMask without setting the HD capable bit in the previous RetTunerCaps command, CurrentMFiFirmwareSpecFileReference (4.7.7), 1.4, NO, NO, NO, Error, accessory sent an HD radio command without setting the HD capable bit in the previous RetTunerCaps command
RFTuner, NoResponseToGetHDData, throw an error if the accessory doesn’t respond to GetHDData with RetHDData or NACK within 500 ms Note: This rule has a 2 ms tolerance built in due to rdar://problem/6827868, CurrentMFiFirmwareSpecFileReference (4.7.46), 1.4, NO, NO, NO, Error, accessory did not respond within 500 ms to GetHDData with transaction ID %1$hu
RFTuner, NoResponseToGetHDDataNotifyMask, throw an error if the accessory doesn’t respond to GetHDDataNotifyMask with RetHDDataNotifyMask or NACK within 500 ms Note: This rule has a 2 ms tolerance built in due to rdar://problem/6827868, CurrentMFiFirmwareSpecFileReference (4.7.48), 1.4, NO, NO, NO, Error, accessory did not respond within 500 ms to GetHDDataNotifyMask with transaction ID %1$hu
RFTuner, NoResponseToGetHDDataReadyStatus, throw an error if the accessory doesn’t respond to GetHDDataReadyStatus with RetHDDataReadyStatus or NACK within 500 ms Note: This rule has a 2 ms tolerance built in due to rdar://problem/6827868, CurrentMFiFirmwareSpecFileReference (4.7.44), 1.4, NO, NO, NO, Error, accessory did not respond within 500 ms to GetHDDataReadyStatus with transaction ID %1$hu
RFTuner, NoResponseToGetHDProgramService, throw an error if the accessory doesn’t respond to GetHDPRogramService with RetHDProgramService or NACK within 500 ms Note: This rule has a 2 ms tolerance built in due to rdar://problem/6827868, CurrentMFiFirmwareSpecFileReference (4.7.41), 1.4, NO, NO, NO, Error, accessory did not respond within 500 ms to GetHDProgramService with transaction ID %1$hu
RFTuner, NoResponseToGetHDProgramServiceCount, throw an error if the accessory doesn’t respond to GetHDProgramServiceCount with RetHDProgramServiceCount or NACK within 500 ms, CurrentMFiFirmwareSpecFileReference (4.7.39), 1.4, NO, NO, NO, Error, accessory did not respond within 500 ms to GetHDProgramServiceCount with transaction ID %1$hu
RFTuner, RFTunerRequestTimedOut, This rule throws an error if an RFTuner command takes too long to respond, CurrentMFiFirmwareSpecFileReference (4.1), 2.2, NO, NO, NO, Error, accessory exceeded response timeout of %1$d ms for command %2$@
RFTuner, ResponseToGetTunerFreqGreaterThan200ms, Throw an error if the accessory doesn't send a RetTunerFreq within 200 ms of GetTunerFreq.   Note: This rule has a 2 ms tolerance built in due to rdar://problem/6827868, CurrentMFiFirmwareSpecFileReference (4.7.15), 1.4, NO, NO, NO, Error, accessory did not respond within 200 ms to GetTunerFreq with transaction ID %1$hu
RFTuner, ResponseToSetTunerFreqGreaterThan200ms, Throw an error if the accessory doesn't send a RetTunerFreq within 200 ms of SetTunerFreq.   Note: This rule has a 2 ms tolerance built in due to rdar://problem/6827868, CurrentMFiFirmwareSpecFileReference (4.7.15), 1.4, NO, NO, NO, Error, accessory did not respond within 200 ms to SetTunerFreq with transaction ID %1$hu
Location, AsyncAccessoryDataLocationTypeNotSupportedByAcc, This rule throws an error if the accessory sends an AsyncAccessoryData command with a location type that does not match the  types supported in the accessory's last RetAccessoryCaps of location type _System_., CurrentMFiFirmwareSpecFileReference (4.13.14), 1.3, NO, NO, NO, Error, accessory sent AsyncAccessoryData with a location type that does not match the types supported in the last RetAccessoryCaps of location type 'System'
Location, AsyncAccessoryDataSentWithoutWaitingForiPodACK, This rule throws an error if the accessory sends data to the iPod using AsyncAccessoryData while previous data that has been sent has not been ACKed with an iPodACK and has not yet timed out., CurrentMFiFirmwareSpecFileReference (2.7.1), 1.3, NO, NO, NO, Error, accessory sent AsyncAccessoryData without first waiting for iPodAck from a previous AsyncAccessoryData or sending an AccessoryAck with 'Command Timeout' status
Location, CurrentGPSTimeSentTooFrequently, This rule throws a warning if the accessory sends GPS time (using AsyncAccessoryData with locType=LocAssist and dataType=GpsTime) more frequently than once every 5 minutes. rdar://problem/11979549 Vet CurrentGPSTimeSentTooFrequently, N/A, 1.3, NO, NO, NO, Warning, accessory sent GPS time more frequently than once every 5 minutes
Location, DevACKCommandOKReturnedForOtherThanLastSection, This rule throws an error if the accessory sends an AccessoryAck with command OK response to a multisection SetAccessoryData data  transfer that is not the last data section instead of sending an AccessoryAck with a status of _section received OK_ and the  received section index., CurrentMFiFirmwareSpecFileReference (2.7.1), 1.3, NO, NO, NO, Error, accessory responded to a multisection SetAccessoryData command with an AccessoryAck with status 'Command OK' instead of 'Section Received OK' for a section other than the last section
Location, DevACKSectionReceivedReturnedForLastSection, This rule throws an error if the accessory sends a DevACK with a _section received OK_ status in response to the last section of a multisection SetAccessoryData data transfer instead of a DevACK with a status of _command OK_., CurrentMFiFirmwareSpecFileReference (2.7.1), 1.3, NO, NO, NO, Error, accessory sent 'Section received' AccessoryAck in response to final section of a multisection SetAccessoryData command
Location, DevACKWithSectionReceivedOKStatusDuplicateSectionIndex, This rule throws an error if the accessory sends a DevACK with a status of _section received OK_ with duplicate  section index of a multisection SetAccessoryData data transfer., CurrentMFiFirmwareSpecFileReference (2.7.1), 1.3, NO, NO, NO, Error, accessory sent 'section received' AccessoryAck for a SetAccessoryData section index (%1$d) it already ACKed
Location, LocationLingoRequiredCommandsNotSeenCA, Fire an error during the Location Lingo test if a Location lingo command was not seen, N/A, 3.0, NO, NO, NO, Error, the required commands for the Location Lingo test were not seen
Location, MultisectionAsyncAccessoryDataLocationDataTypeMismatch, This rule throws an error if the accessory sends an AsyncAccessoryData as part of a multisection transfer with matching  transaction ID but a different data location type than the first AsyncAccessoryData of the transfer., CurrentMFiFirmwareSpecFileReference (4.13.11), 1.3, NO, NO, NO, Error, accessory sent an AsyncAccessoryData as part of a multisection transfer with a different location data type than the first section
Location, MultisectionAsyncAccessoryDataLocationTypeMismatch, This rule throws an error if the accessory sends an AsyncAccessoryData as part of a multisection transfer with matching  transaction ID but a different location type than the first AsyncAccessoryData of the transfer., CurrentMFiFirmwareSpecFileReference (4.13.14), 1.3, NO, NO, NO, Error, accessory sent an AsyncAccessoryData as part of a multisection transfer with a different location type than the first section
Location, MultisectionAsyncAccessoryDataWithDataSectionIndexOutOfRange, This rule throws an error if the accessory sends an AsyncAccessoryData as part of a multisection transfer whose data section  index is greater than the maximum data section index., CurrentMFiFirmwareSpecFileReference (4.13.14), 1.3, NO, NO, NO, Error, accessory sent an AsyncAccessoryData as part of a multisection transfer with an out of range data section index
Location, MultisectionAsyncAccessoryDataWithEmptyPayload, This rule throws an error if the accessory sends an AsyncAccessoryData as part of a multisection transfer with an empty data payload., CurrentMFiFirmwareSpecFileReference (2.7.1), 1.3, NO, NO, NO, Error, accessory sent AsyncAccessoryData section with an empty data payload
Location, MultisectionAsyncAccessoryDataWithMaximumDataSectionIndexMismatch, This rule throws an error if the accessory sends an AsyncAccessoryData as part of a multisection transfer whose maximum data  section index does not match the maximum data section index sent in the first AsyncAccessoryData of the multisection transfer., CurrentMFiFirmwareSpecFileReference (2.7.1), 1.3, NO, NO, NO, Error, accessory sent AsyncAccessoryData with a different maximum section index than the first AsyncAccessoryData in this transaction
Location, MultisectionAsyncAccessoryDataWithNonSequentialDataSectionIndex, This rule throws an error if the accessory sends an AsyncAccessoryData as part of a multisection transfer whose data section  index is not 1 more than the data section index of the last received AsyncAccessoryData., CurrentMFiFirmwareSpecFileReference (2.7.1), 1.3, NO, NO, NO, Error, accessory sent AsyncAccessoryData with a non-sequential current section index from the previous AsyncAccessoryData
Location, MultisectionSetAccessoryDataValidButEmptyNotACKed, This rule throws an error if the accessory does not send an ACK for a SetAccessoryData command sent as part of a multisection data transfer with an empty data payload_ which should be accepted by device if all its other parameters are valid., CurrentMFiFirmwareSpecFileReference (2.7.1), 1.3, NO, NO, NO, Error, accessory did not send AccessoryAck in response to a valid SetAccessoryData
Location, MustSetSatEphRequiredBit, The spec requires that accessories set Bit 01 of locAsstData within RetAccessoryCaps (location assistance) An error should appear when accessories set any of Bit 02 - 04 of locAsstData without setting Bit 01  (satellite ephemeris required) of locAsstData for RetAccessoryCaps. rdar://problem/7039005 Location Claim: Need rule for MustSetSatEphRequiredBit, CurrentMFiFirmwareSpecFileReference (Table 4-275), 1.3, NO, NO, NO, Error, accessory indicated support with RetAccessoryCaps for a location assistance capability that requires satellite ephemeris data_ without setting satellite ephemeris data required
Location, NoRetAccessoryCapsForGetAccessoryCapsSystemCaps, This rule throws an error if the accessory does not respond to a request for its system capabilities with a RetAccessoryCaps., CurrentMFiFirmwareSpecFileReference (4.13.6), 1.3, NO, NO, NO, Error, accessory did not respond to a request for its system capabilities with a RetAccessoryCaps
Location, NoRetAccessoryCapsReturnedForSupportedLocationType, This rule throws an error if the accessory does not return a RetAccessoryCaps response when the iPod requests capabilities for a supported location type., CurrentMFiFirmwareSpecFileReference (4.13.6), 1.3, NO, NO, NO, Error, accessory did not send RetAccessoryCaps for supported location type %1$d in response to GetAccessoryCaps
Location, NoRetAccessoryControlReturnedForSupportedControlType, This rule throws an error if the accessory does not return a RetAccessoryControl response when the iPod requests  capabilities for a supported control type., CurrentMFiFirmwareSpecFileReference (4.13.8), 1.3, NO, NO, NO, Error, accessory did not respond to a GetAccessoryControl with a RetAccessoryControl
